"Microbe","Metric","Effect","Rsq","lower.CL","upper.CL"
"Bacteria","Richness","Intensity",0.160753705113354,0.063913790215088,0.283494035127867
"Bacteria","Richness","Intensity:Frequency",0.0387619045482992,0.00108316363768142,0.127132968116496
"Bacteria","Richness","Frequency",0.026452988357968,0.000238637232160635,0.106075101132477
"Bacteria","Richness","Frequency:Composition",0.0208431393123114,0.000114902375836864,0.0955080106977353
"Bacteria","Richness","Composition",0.00779603471838366,2.10508559382962e-05,0.0661645944770402
"Bacteria","Richness","Intensity:Frequency:Composition",0.000606060569838404,8.38481556970871e-06,0.0417348553780583
"Bacteria","Richness","Intensity:Composition",0.000451085150574132,8.22123409338981e-06,0.0410343947660529
"Bacteria","Shannon","Intensity",0.107753711176819,0.0289428301169144,0.222102255215894
"Bacteria","Shannon","Frequency",0.0541853031843799,0.00431419470594246,0.150911464967175
"Bacteria","Shannon","Composition",0.0402566934706776,0.00127675292007632,0.129543489303045
"Bacteria","Shannon","Intensity:Frequency",0.0114082595374157,3.35807629952404e-05,0.0753150870941937
"Bacteria","Shannon","Frequency:Composition",0.00121657808237822,9.06205218710666e-06,0.0443938500554946
"Bacteria","Shannon","Intensity:Composition",0.000709910048894026,8.49627768200277e-06,0.0421983729963279
"Bacteria","Shannon","Intensity:Frequency:Composition",0.000567795256853771,8.34412055412905e-06,0.0415628802612707
"Bacteria","Simpson","Frequency",0.0609785089204179,0.0065034280994724,0.160754466552344
"Bacteria","Simpson","Intensity",0.0369824149706714,0.000884110606928021,0.124227631795559
"Bacteria","Simpson","Composition",0.0317161355563432,0.000467188212962759,0.115375437446131
"Bacteria","Simpson","Intensity:Frequency",0.0222011283824449,0.00013721393834011,0.0981398658730508
"Bacteria","Simpson","Intensity:Frequency:Composition",0.00157623403076564,9.4867501078606e-06,0.0458884626512121
"Bacteria","Simpson","Frequency:Composition",0.000573213115790318,8.34987021737549e-06,0.0415872684933781
"Bacteria","Simpson","Intensity:Composition",0.000438417919423007,8.20800752846705e-06,0.0409766755340961
"Fungi","Richness","Intensity:Frequency",0.0410316291136827,0.00145723597070796,0.12992582715198
"Fungi","Richness","Intensity:Frequency:Composition",0.0346386707650965,0.00070226648042754,0.119504673670215
"Fungi","Richness","Frequency:Composition",0.0290425408421199,0.000346970509685893,0.109906576307754
"Fungi","Richness","Composition",0.0114500329366192,3.40149209520066e-05,0.0747191322007119
"Fungi","Richness","Intensity",0.00591438416670342,1.64617947410229e-05,0.0601959529741065
"Fungi","Richness","Intensity:Composition",0.00261162463308627,1.07131967918918e-05,0.0493208094069459
"Fungi","Richness","Frequency",3.13084698815768e-05,7.67340364330877e-06,0.0384899267101561
"Fungi","Shannon","Frequency:Composition",0.0133661146206677,4.37952526338779e-05,0.0791456147594364
"Fungi","Shannon","Intensity:Frequency:Composition",0.00732469590922056,1.97919922253521e-05,0.0642190717644549
"Fungi","Shannon","Intensity:Frequency",0.00658279047680829,1.79627491608749e-05,0.0621379780778471
"Fungi","Shannon","Intensity",0.00571342860023666,1.60358881630297e-05,0.0595983893444287
"Fungi","Shannon","Composition",0.00189304761080714,9.76079542415384e-06,0.0465659185514771
"Fungi","Shannon","Frequency",0.000933668864181264,8.62162556024401e-06,0.0425879601628818
"Fungi","Shannon","Intensity:Composition",2.16730208814731e-06,7.64461113242033e-06,0.0383515363699097
"Fungi","Simpson","Frequency:Composition",0.011638266772363,3.48689013309444e-05,0.0751643902964898
"Fungi","Simpson","Intensity:Frequency:Composition",0.00968069955785102,2.69527270580958e-05,0.0704051773663613
"Fungi","Simpson","Intensity",0.00759658868624381,2.0508717252713e-05,0.0649639699139336
"Fungi","Simpson","Intensity:Frequency",0.00570248115165613,1.60130096603992e-05,0.0595656438924133
"Fungi","Simpson","Frequency",0.000899289037035917,8.58340547361314e-06,0.0424383949567455
"Fungi","Simpson","Composition",0.000643484432546407,8.30437483158329e-06,0.0413094450271305
"Fungi","Simpson","Intensity:Composition",1.09130806349738e-05,7.65324073575512e-06,0.0383931092761627
