"Category","Count","Type"
"Multi-trophic",131,"trophicMode_clean"
"Pathotroph",20,"trophicMode_clean"
"Saprotroph",89,"trophicMode_clean"
"Symbiotroph",62,"trophicMode_clean"
NA,286,"trophicMode_clean"
"Algal Parasite",8,"guild_clean"
"Animal Parasite",30,"guild_clean"
"Animal Pathogen",9,"guild_clean"
"Arbuscular Mycorrhizal",50,"guild_clean"
"Bryophyte Parasite",1,"guild_clean"
"Dung Saprotroph",30,"guild_clean"
"Ectomycorrhizal",10,"guild_clean"
"Endophyte",49,"guild_clean"
"Epiphyte",2,"guild_clean"
"Fish Parasite",1,"guild_clean"
"Lichenized",2,"guild_clean"
"Plant Pathogen",51,"guild_clean"
"Plant Saprotroph",43,"guild_clean"
"Wood Saprotroph",16,"guild_clean"
NA,286,"guild_clean"
