"Guild","Term","Chisq","Df","p"
"Saprotroph","Intensity",4.53614041322689,1,0.0331863376175408
"Saprotroph","Frequency",3.06458459144497,1,0.0800156116194945
"Saprotroph","Composition",0.937086248403828,1,0.333028312242853
"Saprotroph","Intensity:Frequency",0.932237937031414,1,0.334282072962559
"Saprotroph","Intensity:Composition",0.680683709426533,1,0.409351390647717
"Saprotroph","Frequency:Composition",0.114508136905099,1,0.73506892508836
"Saprotroph","Intensity:Frequency:Composition",1.29009707760496,1,0.256030061264713
"Symbiotroph","Intensity",32.1772135416807,1,1.40731614192201e-08
"Symbiotroph","Frequency",1.05809888813906,1,0.303649185268528
"Symbiotroph","Composition",1.99687297338469,1,0.157624100997736
"Symbiotroph","Intensity:Frequency",0.450860459185795,1,0.501926619025919
"Symbiotroph","Intensity:Composition",0.04584510820671,1,0.830457606389812
"Symbiotroph","Frequency:Composition",0.0469246747420138,1,0.828503687909631
"Symbiotroph","Intensity:Frequency:Composition",1.68412801331788,1,0.194376838455026
"Pathotroph","Intensity",3.12654227919936,1,0.0770269525392707
"Pathotroph","Frequency",0.00108246898453289,1,0.973753617952967
"Pathotroph","Composition",0.289570846856655,1,0.590495672994879
"Pathotroph","Intensity:Frequency",0.00888942718271248,1,0.924883751000843
"Pathotroph","Intensity:Composition",0.193289950387778,1,0.660192410680223
"Pathotroph","Frequency:Composition",0.565896001918869,1,0.451894360235667
"Pathotroph","Intensity:Frequency:Composition",0.146007014445624,1,0.702380781785913
"Multi-trophic","Intensity",11.2920897576908,1,0.000778380177774182
"Multi-trophic","Frequency",0.0500638120748115,1,0.822952273205783
"Multi-trophic","Composition",0.0202890623524229,1,0.886732722029753
"Multi-trophic","Intensity:Frequency",0.306790480576464,1,0.579656385291221
"Multi-trophic","Intensity:Composition",1.10653730939353,1,0.292835901117967
"Multi-trophic","Frequency:Composition",0.218377253687051,1,0.640279161010218
"Multi-trophic","Intensity:Frequency:Composition",0.00811051786493,1,0.928240795998905
