"Level","Phylum","mean_abundance","Effect"
"Dry","Actinobacteriota",0.49212262875773,"Intensity"
"Dry","Bacteroidota",0.108362301426788,"Intensity"
"Dry","Chloroflexi",0.0370391792880891,"Intensity"
"Dry","Firmicutes",0.0093620556046652,"Intensity"
"Dry","Proteobacteria",0.256335998910825,"Intensity"
"Wet","Actinobacteriota",0.21421304568375,"Intensity"
"Wet","Bacteroidota",0.0845984646928679,"Intensity"
"Wet","Chloroflexi",0.049783516645912,"Intensity"
"Wet","Firmicutes",0.0917966509709524,"Intensity"
"Wet","Proteobacteria",0.344527029341754,"Intensity"
"High","Actinobacteriota",0.262706972284519,"Frequency"
"High","Bacteroidota",0.101161792921902,"Frequency"
"High","Chloroflexi",0.0430673106656026,"Frequency"
"High","Firmicutes",0.108470092802252,"Frequency"
"High","Proteobacteria",0.274270793092698,"Frequency"
"Low","Actinobacteriota",0.363593873293147,"Frequency"
"Low","Bacteroidota",0.0890941391226141,"Frequency"
"Low","Chloroflexi",0.0459281513347213,"Frequency"
"Low","Firmicutes",0.0267814799593082,"Frequency"
"Low","Proteobacteria",0.333701154123465,"Frequency"
"Conspecific","Actinobacteriota",0.316438064112451,"Composition"
"Conspecific","Bacteroidota",0.0958957546192948,"Composition"
"Conspecific","Chloroflexi",0.0351785500757132,"Composition"
"Conspecific","Firmicutes",0.081615036460232,"Composition"
"Conspecific","Proteobacteria",0.314605938641674,"Composition"
"Heterospecific","Actinobacteriota",0.33025269444123,"Composition"
"Heterospecific","Bacteroidota",0.0918849418535832,"Composition"
"Heterospecific","Chloroflexi",0.0546892445894144,"Composition"
"Heterospecific","Firmicutes",0.0366063727526228,"Composition"
"Heterospecific","Proteobacteria",0.305105926751565,"Composition"
